Date,Open,High,Low,Close,Adj Close,Volume
2019-01-16,4.655000,4.680000,4.631000,4.647000,4.647000,157690819
2019-01-17,4.649000,4.660000,4.604000,4.610000,4.610000,149442058
2019-01-18,4.615000,4.668000,4.596000,4.659000,4.659000,223273926
2019-01-21,4.666000,4.713000,4.657000,4.676000,4.676000,215688989
2019-01-22,4.669000,4.670000,4.586000,4.608000,4.608000,183242628
2019-01-23,4.595000,4.628000,4.589000,4.613000,4.613000,118288888
2019-01-24,4.614000,4.680000,4.588000,4.645000,4.645000,187058732
2019-01-25,4.642000,4.674000,4.619000,4.622000,4.622000,159482896
2019-01-28,4.650000,4.687000,4.596000,4.606000,4.606000,203399149
2019-01-29,4.599000,4.599000,4.481000,4.545000,4.545000,278111653
2019-01-30,4.522000,4.572000,4.511000,4.512000,4.512000,181134945
2019-01-31,4.513000,4.548000,4.444000,4.483000,4.483000,318174895
2019-02-01,4.496000,4.619000,4.496000,4.618000,4.618000,371672637
2019-02-11,4.620000,4.721000,4.618000,4.718000,4.718000,288553426
2019-02-12,4.717000,4.770000,4.710000,4.743000,4.743000,268320920
2019-02-13,4.745000,4.851000,4.732000,4.830000,4.830000,314794921
2019-02-14,4.829000,4.883000,4.810000,4.850000,4.850000,196993919
2019-02-15,4.834000,4.866000,4.806000,4.816000,4.816000,228703418
2019-02-18,4.840000,5.010000,4.840000,5.006000,5.006000,326717444
2019-02-19,5.010000,5.051000,4.931000,4.984000,4.984000,326264588
2019-02-20,4.990000,4.998000,4.936000,4.974000,4.974000,223735547
2019-02-21,4.979000,5.089000,4.958000,4.979000,4.979000,309515229
2019-02-22,4.981000,5.140000,4.969000,5.136000,5.136000,230195773
2019-02-25,5.218000,5.484000,5.176000,5.479000,5.479000,595989229
2019-02-26,5.470000,5.514000,5.351000,5.406000,5.406000,455191989
2019-02-27,5.399000,5.446000,5.302000,5.363000,5.363000,375673754
2019-02-28,5.362000,5.419000,5.333000,5.368000,5.368000,245779834
2019-03-01,5.391000,5.440000,5.320000,5.432000,5.432000,331426930
2019-03-04,5.450000,5.618000,5.450000,5.506000,5.506000,377900297
2019-03-05,5.496000,5.671000,5.482000,5.666000,5.666000,314258466
2019-03-06,5.687000,5.800000,5.608000,5.777000,5.777000,590164355
2019-03-07,5.779000,5.906000,5.550000,5.824000,5.824000,499921366
2019-03-08,5.651000,5.848000,5.621000,5.632000,5.632000,587409386
2019-03-11,5.642000,5.842000,5.642000,5.838000,5.838000,461636347
2019-03-12,5.873000,5.976000,5.837000,5.933000,5.933000,435696136
2019-03-13,5.925000,5.927000,5.757000,5.793000,5.793000,516345904
2019-03-14,5.740000,5.798000,5.610000,5.658000,5.658000,322997798
2019-03-15,5.686000,5.801000,5.669000,5.720000,5.720000,336945935
2019-03-18,5.742000,5.906000,5.701000,5.903000,5.903000,299743991
2019-03-19,5.907000,5.938000,5.858000,5.892000,5.892000,194370808
2019-03-20,5.883000,5.907000,5.779000,5.893000,5.893000,262808773
2019-03-21,5.895000,6.035000,5.893000,5.958000,5.958000,303876923
2019-03-22,5.965000,6.025000,5.880000,6.022000,6.022000,283093535
2019-03-25,5.909000,6.010000,5.909000,5.935000,5.935000,265888237
2019-03-26,5.961000,5.970000,5.740000,5.757000,5.757000,401397053
2019-03-27,5.794000,5.833000,5.715000,5.828000,5.828000,272990710
2019-03-28,5.804000,5.865000,5.741000,5.746000,5.746000,209228992
2019-03-29,5.748000,5.950000,5.725000,5.942000,5.942000,461334484
2019-04-01,5.984000,6.181000,5.983000,6.177000,6.177000,307362219
2019-04-02,6.250000,6.251000,6.140000,6.172000,6.172000,306902827
2019-04-03,6.140000,6.271000,6.134000,6.244000,6.244000,246671073
