Date	Open	High	Low	Close	Adj Close	Volume
2018-01-02	13.784614562988281	14.466666221618652	13.784614562988281	14.410256385803223	13.87803840637207	22511845
2018-01-03	14.410256385803223	14.89230728149414	14.410256385803223	14.820511817932129	14.273141860961914	31349247
2018-01-04	14.830768585205078	14.882051467895508	14.625640869140625	14.866665840148926	14.317590713500977	18159638
2018-01-05	14.820511817932129	14.820511817932129	14.600000381469727	14.666666030883789	14.124978065490723	9376298
2018-01-08	14.692307472229004	14.810256004333496	14.461538314819336	14.600000381469727	14.060774803161621	10207150
2018-01-09	14.61025619506836	14.753846168518066	14.564102172851562	14.69743537902832	14.154610633850098	8232394
2018-01-10	14.69743537902832	14.800000190734863	14.574357986450195	14.7641019821167	14.218815803527832	12652231
2018-01-11	14.723075866699219	14.779486656188965	14.605128288269043	14.625640869140625	14.085467338562012	9589887
2018-01-12	14.666666030883789	14.676922798156738	14.333333015441895	14.35897445678711	13.828651428222656	11238491
2018-01-15	14.415384292602539	14.656410217285156	14.15384578704834	14.189743041992188	13.665669441223145	13485985
2018-01-16	14.2410249710083	14.2410249710083	14.010255813598633	14.041025161743164	13.522444725036621	10199824
2018-01-17	14.04615306854248	14.189743041992188	13.897435188293457	14.158973693847656	13.63603687286377	8500521
2018-01-18	14.148716926574707	14.15384578704834	13.974357604980469	14.061537742614746	13.542200088500977	9848905
2018-01-19	14.102563858032227	14.189743041992188	13.953845977783203	14.071793556213379	13.552075386047363	7506168
2018-01-22	14.082051277160645	14.14358901977539	13.94871711730957	14.010255813598633	13.49281120300293	12333789
2018-01-23	14.102563858032227	14.102563858032227	13.938461303710938	14.0	13.48293399810791	11278267
2018-01-24	14.0	14.030769348144531	13.835897445678711	13.969229698181152	13.453300476074219	19856748
2018-01-25	13.938461303710938	14.066665649414062	13.882051467895508	13.94871711730957	13.43354606628418	8446738
2018-01-26	13.974357604980469	14.184615135192871	13.938461303710938	14.092307090759277	13.571832656860352	10001232
2018-01-29	14.287178993225098	14.45641040802002	14.102563858032227	14.179487228393555	13.655792236328125	20121519
2018-01-30	14.11281967163086	14.374358177185059	14.11281967163086	14.225641250610352	13.700242042541504	7844551
2018-01-31	14.133333206176758	14.199999809265137	13.800000190734863	13.856410026550293	13.344647407531738	11764125
2018-02-01	13.856410026550293	13.923075675964355	13.451281547546387	13.635896682739258	13.132279396057129	16414944
2018-02-02	13.620512008666992	13.620512008666992	13.374358177185059	13.39487075805664	12.900154113769531	12871741
2018-02-05	13.317948341369629	13.317948341369629	12.79487133026123	13.025641441345215	12.544562339782715	15276890
2018-02-06	12.80512809753418	13.051281929016113	12.717947959899902	13.010255813598633	12.529745101928711	11855522
2018-02-07	13.128205299377441	13.184615135192871	12.810256004333496	12.912819862365723	12.435907363891602	7214288
2018-02-08	12.943589210510254	13.041025161743164	12.820511817932129	12.969229698181152	12.490233421325684	5473878
2018-02-09	12.717947959899902	13.035897254943848	12.451281547546387	12.784614562988281	12.312437057495117	12183397
2018-02-12	12.86153793334961	13.051281929016113	12.7641019821167	12.994871139526367	12.514928817749023	5057740
2018-02-13	13.010255813598633	13.107691764831543	12.943589210510254	12.974357604980469	12.495172500610352	4531874
2018-02-14	13.041025161743164	13.174358367919922	12.994871139526367	13.102563858032227	12.618643760681152	3873066
2018-02-22	13.205127716064453	13.271794319152832	13.128205299377441	13.138461112976074	12.653215408325195	5350476
2018-02-23	13.215383529663086	13.302563667297363	13.11281967163086	13.271794319152832	12.781624794006348	7065472
2018-02-26	13.338460922241211	13.630768775939941	13.225641250610352	13.558974266052246	13.058197021484375	8256292
2018-02-27	13.641024589538574	13.846153259277344	13.517948150634766	13.69743537902832	13.191544532775879	9152184
2018-02-28	13.743589401245117	13.86153793334961	13.65128231048584	13.774357795715332	13.265625	9409414
2018-03-01	13.671793937683105	13.98974323272705	13.671793937683105	13.887179374694824	13.374279975891113	7675820
2018-03-02	13.789743423461914	14.092307090759277	13.748717308044434	13.994871139526367	13.477994918823242	12346795
2018-03-05	14.025641441345215	14.348716735839844	14.025641441345215	14.230769157409668	13.705181121826172	13318968
2018-03-06	14.333333015441895	14.600000381469727	14.205127716064453	14.558974266052246	14.02126407623291	21394573
2018-03-07	14.574357986450195	14.641024589538574	14.292306900024414	14.333333015441895	13.803956031799316	13523006
2018-03-08	14.271794319152832	14.641024589538574	14.271794319152832	14.600000381469727	14.060774803161621	13796314
2018-03-09	14.65128231048584	14.65128231048584	14.435896873474121	14.569230079650879	14.031140327453613	7439532
2018-03-12	14.615384101867676	14.743589401245117	14.538460731506348	14.605128288269043	14.065713882446289	12833209
2018-03-13	14.605128288269043	14.605128288269043	14.30769157409668	14.312820434570312	13.784202575683594	9520771
2018-03-14	14.420512199401855	14.579486846923828	14.333333015441895	14.476922988891602	13.942242622375488	12192534
2018-03-15	14.476922988891602	14.476922988891602	14.0	14.082051277160645	13.561954498291016	11907281
2018-03-16	14.030769348144531	14.271794319152832	14.030769348144531	14.061537742614746	13.542200088500977	10384492
2018-03-19	14.138461112976074	14.476922988891602	14.01538372039795	14.461538314819336	13.9274263381958	11824589
2018-03-20	14.446152687072754	14.702564239501953	14.266666412353516	14.620512008666992	14.08052921295166	15745902
2018-03-21	14.738460540771484	14.738460540771484	14.451281547546387	14.461538314819336	13.9274263381958	12241126
2018-03-22	14.461538314819336	14.574357986450195	14.246152877807617	14.317948341369629	13.789139747619629	8188069
